"aa";"Kaikki maat yhteensä";"30 214 006€";7 888 744;"kg"
"be";"Belgia";"20 728€";3 606;"kg"
"de";"Saksa";"9 595 869€";2 529 795;"kg"
"dk";"Tanska";"15 300€";3 750;"kg"
"do";"Dominikaaninen tasavalta";"772€";88;"kg"
"ec";"Ecuador";"89 856€";8 724;"kg"
"ee";"Viro";"14 304€";4 940;"kg"
"fr";"Ranska";"1 646 358€";463 359;"kg"
"gb";"Iso-Britannia";"93 660€";12 122;"kg"
"id";"Indonesia";"32 745€";3 222;"kg"
"it";"Italia";"138€";17;"kg"
"nl";"Alankomaat";"18 179 333€";4 776 017;"kg"
"pe";"Peru";"136 266€";14 434;"kg"
"se";"Ruotsi";"381 483€";68 194;"kg"
"th";"Thaimaa";"505€";30;"kg"
"us";"USA";"6 689€";446;"kg"
