"aa";"Kaikki maat yhteensä";"41 849 406€";2 103 283;"kg"
"ae";"Arabiemiirikunnat";"551€";75;"kg"
"at";"Itävalta";"24 121€";972;"kg"
"au";"Australia";"238€";1;"kg"
"ba";"Bosnia ja Hertsegovina";"102 697€";1 291;"kg"
"be";"Belgia";"155 478€";5 972;"kg"
"bg";"Bulgaria";"430€";2;"kg"
"br";"Brasilia";"2 555€";90;"kg"
"ca";"Kanada";"708€";17;"kg"
"ch";"Sveitsi";"27 642€";391;"kg"
"cn";"Kiina";"18 665 844€";910 931;"kg"
"cz";"Tsekin tasavalta";"450 554€";15 553;"kg"
"de";"Saksa";"1 749 829€";122 866;"kg"
"dk";"Tanska";"105 178€";4 274;"kg"
"ee";"Viro";"7 877€";541;"kg"
"es";"Espanja";"35 286€";1 011;"kg"
"fr";"Ranska";"135 556€";2 784;"kg"
"gb";"Iso-Britannia";"232 506€";7 352;"kg"
"hk";"Hongkong";"91 654€";4 842;"kg"
"hu";"Unkari";"3 646€";107;"kg"
"id";"Indonesia";"4 004 283€";293 313;"kg"
"il";"Israel";"3 051€";46;"kg"
"in";"Intia";"140 334€";9 865;"kg"
"is";"Islanti";"4 974€";57;"kg"
"it";"Italia";"3 370 866€";204 680;"kg"
"jp";"Japani";"1 853€";32;"kg"
"kh";"Kambodza";"114 620€";3 801;"kg"
"kr";"Etelä-Korea";"62 781€";2 350;"kg"
"lk";"Sri Lanka";"9 665€";154;"kg"
"lv";"Latvia";"140€";5;"kg"
"ma";"Marokko";"301 232€";16 007;"kg"
"mk";"Makedonia";"2 463€";53;"kg"
"mx";"Meksiko";"1 477€";27;"kg"
"my";"Malesia";"18 630€";327;"kg"
"nl";"Alankomaat";"400 100€";11 486;"kg"
"no";"Norja";"13 582€";378;"kg"
"pk";"Pakistan";"7 553€";374;"kg"
"pl";"Puola";"291 804€";28 965;"kg"
"pt";"Portugali";"58 592€";896;"kg"
"ro";"Romania";"537 469€";25 520;"kg"
"ru";"Venäjä";"304€";34;"kg"
"se";"Ruotsi";"3 676 757€";102 253;"kg"
"sg";"Singapore";"1 161€";19;"kg"
"si";"Slovenia";"787 210€";98 750;"kg"
"sk";"Slovakia";"297 986€";10 491;"kg"
"th";"Thaimaa";"490 292€";12 390;"kg"
"tr";"Turkki";"17 816€";350;"kg"
"tw";"Taiwan";"128 653€";4 762;"kg"
"us";"USA";"146 847€";7 566;"kg"
"uy";"Uruguay";"310€";6;"kg"
"vn";"Vietnam";"5 164 251€";189 254;"kg"
