"aa";"Kaikki maat yhteensä";"22 408 210€";2 236 936;"kg"
"at";"Itävalta";"208 164€";11 912;"kg"
"au";"Australia";"893€";30;"kg"
"bd";"Bangladesh";"13 809€";2 876;"kg"
"be";"Belgia";"1 071 665€";90 592;"kg"
"br";"Brasilia";"22 674€";2 134;"kg"
"ca";"Kanada";"1 842€";61;"kg"
"ch";"Sveitsi";"129 168€";3 644;"kg"
"cn";"Kiina";"631 783€";76 764;"kg"
"cz";"Tsekin tasavalta";"326 036€";34 284;"kg"
"de";"Saksa";"3 315 955€";370 552;"kg"
"dk";"Tanska";"364 797€";34 639;"kg"
"ec";"Ecuador";"378€";15;"kg"
"ee";"Viro";"656 058€";159 190;"kg"
"eg";"Egypti";"14 593€";1 676;"kg"
"es";"Espanja";"1 077 412€";135 881;"kg"
"fr";"Ranska";"856 225€";56 690;"kg"
"gb";"Iso-Britannia";"2 426 946€";212 362;"kg"
"gh";"Ghana";"710€";18;"kg"
"gr";"Kreikka";"3 210€";106;"kg"
"hk";"Hongkong";"516€";7;"kg"
"hu";"Unkari";"1 452€";180;"kg"
"id";"Indonesia";"6 554€";358;"kg"
"in";"Intia";"386 853€";33 964;"kg"
"ir";"Iran";"869€";5;"kg"
"it";"Italia";"2 433 401€";159 715;"kg"
"jp";"Japani";"30 262€";989;"kg"
"ke";"Kenia";"2 842€";380;"kg"
"kr";"Etelä-Korea";"70 139€";2 973;"kg"
"lt";"Liettua";"52 815€";3 343;"kg"
"lv";"Latvia";"307 374€";37 735;"kg"
"md";"Moldova";"146 544€";14 234;"kg"
"mx";"Meksiko";"28€";0;"kg"
"my";"Malesia";"4 554€";262;"kg"
"nl";"Alankomaat";"558 711€";45 345;"kg"
"no";"Norja";"4 152€";322;"kg"
"pe";"Peru";"391 608€";27 965;"kg"
"pk";"Pakistan";"1 873 792€";228 819;"kg"
"pl";"Puola";"35 060€";5 245;"kg"
"pt";"Portugali";"1 029 446€";75 812;"kg"
"ro";"Romania";"8 360€";1 160;"kg"
"ru";"Venäjä";"9 567€";853;"kg"
"sa";"Saudi-Arabia";"177€";5;"kg"
"se";"Ruotsi";"1 292 099€";89 304;"kg"
"sg";"Singapore";"912€";20;"kg"
"si";"Slovenia";"1 817€";150;"kg"
"sk";"Slovakia";"18€";1;"kg"
"th";"Thaimaa";"89 333€";10 620;"kg"
"tr";"Turkki";"2 478 797€";299 927;"kg"
"tw";"Taiwan";"7 063€";401;"kg"
"tz";"Tansania";"730€";33;"kg"
"ua";"Ukraina";"15 096€";2 309;"kg"
"us";"USA";"30 473€";831;"kg"
"vn";"Vietnam";"14 420€";241;"kg"
"za";"Etelä-Afrikka";"58€";2;"kg"
