"aa";"Kaikki maat yhteensä";"101 243 909€";20 985 684;"kg"
"at";"Itävalta";"1 749 612€";318 989;"kg"
"ba";"Bosnia ja Hertsegovina";"1 647€";1 450;"kg"
"be";"Belgia";"6 080 013€";1 135 574;"kg"
"bg";"Bulgaria";"11 540€";1 018;"kg"
"bw";"Botswana";"1 386€";480;"kg"
"ca";"Kanada";"3 363€";133;"kg"
"ch";"Sveitsi";"2 975 355€";414 522;"kg"
"cn";"Kiina";"79 552€";5 195;"kg"
"cz";"Tsekin tasavalta";"40 961€";4 452;"kg"
"de";"Saksa";"18 406 722€";4 742 691;"kg"
"dk";"Tanska";"4 631 833€";1 183 520;"kg"
"ec";"Ecuador";"10 773€";598;"kg"
"ee";"Viro";"307 718€";77 064;"kg"
"es";"Espanja";"3 310 165€";638 298;"kg"
"fr";"Ranska";"8 260 157€";1 810 654;"kg"
"gb";"Iso-Britannia";"3 142 472€";859 868;"kg"
"gr";"Kreikka";"30 618€";5 942;"kg"
"hu";"Unkari";"99 581€";41 113;"kg"
"id";"Indonesia";"6 765€";873;"kg"
"ie";"Irlanti";"199 565€";19 473;"kg"
"il";"Israel";"11€";1;"kg"
"in";"Intia";"5€";4;"kg"
"is";"Islanti";"635€";112;"kg"
"it";"Italia";"3 476 499€";495 380;"kg"
"lt";"Liettua";"370 426€";60 227;"kg"
"lv";"Latvia";"315 601€";44 140;"kg"
"nl";"Alankomaat";"3 679 954€";804 846;"kg"
"no";"Norja";"4 864 254€";580 047;"kg"
"pe";"Peru";"55 134€";6 632;"kg"
"ph";"Filippiinit";"330€";21;"kg"
"pl";"Puola";"3 100 654€";992 219;"kg"
"pt";"Portugali";"12 927€";148;"kg"
"qa";"Qatar";"79€";0;"kg"
"ru";"Venäjä";"10 841€";113;"kg"
"se";"Ruotsi";"34 100 834€";6 416 105;"kg"
"sk";"Slovakia";"1 065€";58;"kg"
"tr";"Turkki";"152 740€";35 420;"kg"
"ua";"Ukraina";"1 509 017€";246 817;"kg"
"us";"USA";"240 970€";41 332;"kg"
"za";"Etelä-Afrikka";"2 135€";155;"kg"
