"aa";"Kaikki maat yhteensä";"15 179 910€";1 856 100;"kg"
"at";"Itävalta";"803€";20;"kg"
"be";"Belgia";"15 404€";1 720;"kg"
"br";"Brasilia";"17 178€";14 430;"kg"
"ch";"Sveitsi";"36 159€";5 633;"kg"
"cn";"Kiina";"714 833€";139 646;"kg"
"cz";"Tsekin tasavalta";"11 664€";1 749;"kg"
"de";"Saksa";"1 870 666€";340 699;"kg"
"dk";"Tanska";"33 243€";1 963;"kg"
"ee";"Viro";"33 391€";1 783;"kg"
"es";"Espanja";"8 921€";481;"kg"
"et";"Etiopia";"1 116€";400;"kg"
"fr";"Ranska";"170 767€";8 421;"kg"
"gb";"Iso-Britannia";"4 538 383€";215 033;"kg"
"hk";"Hongkong";"984€";21;"kg"
"in";"Intia";"1 234 437€";238 580;"kg"
"ir";"Iran";"1 875€";850;"kg"
"it";"Italia";"983€";59;"kg"
"jp";"Japani";"30 160€";2 271;"kg"
"ke";"Kenia";"1 357€";250;"kg"
"kr";"Etelä-Korea";"1 325€";133;"kg"
"lk";"Sri Lanka";"1 982 834€";363 756;"kg"
"nl";"Alankomaat";"557 099€";71 581;"kg"
"np";"Nepal";"48€";19;"kg"
"pe";"Peru";"153€";10;"kg"
"pk";"Pakistan";"119€";9;"kg"
"pl";"Puola";"1 068 532€";139 874;"kg"
"ru";"Venäjä";"1 310€";115;"kg"
"se";"Ruotsi";"2 712 832€";298 699;"kg"
"sg";"Singapore";"211€";13;"kg"
"th";"Thaimaa";"10 246€";1 073;"kg"
"tl";"Timor-Leste";"1 205€";17;"kg"
"tr";"Turkki";"6 944€";2 878;"kg"
"tw";"Taiwan";"8 774€";1 489;"kg"
"tz";"Tansania";"2 246€";1 000;"kg"
"ua";"Ukraina";"316€";32;"kg"
"us";"USA";"101 651€";1 303;"kg"
"vn";"Vietnam";"220€";9;"kg"
