"aa";"Kaikki maat yhteensä";"427 125 237€";2 807 878;"kg"
"ae";"Arabiemiirikunnat";"11 320€";287;"kg"
"an";"Alankomaiden Antillit";"225€";3;"kg"
"at";"Itävalta";"38 684€";318;"kg"
"au";"Australia";"19 578€";63;"kg"
"be";"Belgia";"6 665€";19;"kg"
"br";"Brasilia";"351€";2;"kg"
"ca";"Kanada";"122 951€";206;"kg"
"ch";"Sveitsi";"159 401€";245;"kg"
"cl";"Chile";"1 501€";16;"kg"
"cn";"Kiina";"280 267 265€";1 860 219;"kg"
"cz";"Tsekin tasavalta";"10 068 566€";32 201;"kg"
"de";"Saksa";"26 067 881€";201 620;"kg"
"dk";"Tanska";"26 657 523€";106 797;"kg"
"ee";"Viro";"99 892€";287;"kg"
"eg";"Egypti";"1 079€";6;"kg"
"es";"Espanja";"9 472€";30;"kg"
"fr";"Ranska";"5 236 366€";42 178;"kg"
"gb";"Iso-Britannia";"4 273 747€";15 090;"kg"
"hk";"Hongkong";"108 933€";884;"kg"
"hu";"Unkari";"159 078€";4 244;"kg"
"id";"Indonesia";"1 162€";12;"kg"
"ie";"Irlanti";"5 576 788€";46 943;"kg"
"il";"Israel";"136 259€";102;"kg"
"in";"Intia";"5 662€";26;"kg"
"it";"Italia";"34 770€";231;"kg"
"jo";"Jordania";"297€";3;"kg"
"jp";"Japani";"12 578 055€";85 005;"kg"
"kr";"Etelä-Korea";"1 088 272€";4 175;"kg"
"kw";"Kuwait";"255€";0;"kg"
"kz";"Kazakstan";"559€";4;"kg"
"lt";"Liettua";"1 617€";9;"kg"
"lv";"Latvia";"62 292€";469;"kg"
"mo";"Macao";"200€";2;"kg"
"mx";"Meksiko";"2 576€";11;"kg"
"my";"Malesia";"27 603€";274;"kg"
"na";"Namibia";"10 007€";25;"kg"
"nl";"Alankomaat";"2 412 099€";8 578;"kg"
"no";"Norja";"181 311€";3 753;"kg"
"nz";"Uusi Seelanti";"1 529€";5;"kg"
"ph";"Filippiinit";"112 615€";79;"kg"
"pl";"Puola";"2 176 768€";14 167;"kg"
"ru";"Venäjä";"1 393€";30;"kg"
"sa";"Saudi-Arabia";"326€";30;"kg"
"se";"Ruotsi";"32 996 401€";270 719;"kg"
"sg";"Singapore";"1 297 747€";12 666;"kg"
"sk";"Slovakia";"102 980€";2 712;"kg"
"th";"Thaimaa";"1 731€";12;"kg"
"tn";"Tunisia";"48 694€";319;"kg"
"tr";"Turkki";"5 926€";54;"kg"
"tw";"Taiwan";"8 645 286€";62 963;"kg"
"ua";"Ukraina";"327€";12;"kg"
"us";"USA";"6 291 880€";29 739;"kg"
"vn";"Vietnam";"916€";7;"kg"
"xk";"Kosovo";"464€";5;"kg"
"za";"Etelä-Afrikka";"9 992€";22;"kg"
