"aa";"Kaikki maat yhteensä";"36900400€";24131694;"kg"
"be";"Belgia";"46969€";42316;"kg"
"bg";"Bulgaria";"962€";585;"kg"
"de";"Saksa";"3560981€";2390442;"kg"
"eg";"Egypti";"1823€";665;"kg"
"es";"Espanja";"16075598€";8960097;"kg"
"fr";"Ranska";"391376€";372747;"kg"
"il";"Israel";"1822690€";664637;"kg"
"it";"Italia";"15849€";5524;"kg"
"ma";"Marokko";"917924€";876493;"kg"
"nl";"Alankomaat";"13243285€";9793446;"kg"
"pl";"Puola";"481403€";865800;"kg"
"se";"Ruotsi";"689€";649;"kg"
"sn";"Senegal";"257505€";112028;"kg"
"tn";"Tunisia";"32281€";17790;"kg"
"tr";"Turkki";"51065€";28475;"kg"
