"aa";"Kaikki maat yhteensä";"206 188 810€";8 662 769;"kg"
"au";"Australia";"2 623€";5;"kg"
"be";"Belgia";"109 728€";16 616;"kg"
"br";"Brasilia";"773€";13;"kg"
"ch";"Sveitsi";"155€";1;"kg"
"cn";"Kiina";"2 998 572€";157 188;"kg"
"cz";"Tsekin tasavalta";"28 962 938€";1 568 236;"kg"
"de";"Saksa";"524 044€";7 883;"kg"
"dk";"Tanska";"816 590€";8 997;"kg"
"ee";"Viro";"1 410 621€";78 125;"kg"
"es";"Espanja";"507 185€";16 820;"kg"
"fr";"Ranska";"1 723 292€";31 034;"kg"
"gb";"Iso-Britannia";"454 620€";7 373;"kg"
"hk";"Hongkong";"279 519€";7 802;"kg"
"hu";"Unkari";"13 150 814€";540 587;"kg"
"id";"Indonesia";"1 156 518€";43 648;"kg"
"ie";"Irlanti";"170 800€";6 871;"kg"
"il";"Israel";"6 568€";4;"kg"
"in";"Intia";"400€";4;"kg"
"it";"Italia";"59 458€";436;"kg"
"jp";"Japani";"3 503 063€";139 360;"kg"
"kp";"Pohjois-Korea";"158 164€";5 368;"kg"
"kr";"Etelä-Korea";"20 426 163€";892 276;"kg"
"lt";"Liettua";"807 825€";57 512;"kg"
"lu";"Luxemburg";"152 017€";20 555;"kg"
"lv";"Latvia";"35 288€";878;"kg"
"my";"Malesia";"2 907€";332;"kg"
"nl";"Alankomaat";"7 707 082€";238 713;"kg"
"no";"Norja";"95 345€";392;"kg"
"pl";"Puola";"24 862 912€";1 153 069;"kg"
"ro";"Romania";"395 023€";12 589;"kg"
"ru";"Venäjä";"6 133€";247;"kg"
"se";"Ruotsi";"38 795 998€";1 414 087;"kg"
"sk";"Slovakia";"41 941 170€";1 460 814;"kg"
"th";"Thaimaa";"169 617€";2 306;"kg"
"tr";"Turkki";"14 436 629€";769 138;"kg"
"tw";"Taiwan";"82 326€";1 265;"kg"
"us";"USA";"275 930€";2 225;"kg"
